Column1,Column2
TXT0169,"'@muhadklyacho kalo nanti prabowo menilai soal toleransi dan polusi ke anis nilainya 3kalo nanti prabowo menilai pildun u20 batal dan wadas nilainya 2well yg berhak menilai bukan capres, yg berhak menilai itu lembaga dan otoritas yg independent. mas acho kebelet benci ya gini ãƒâ°ã‚å¸ã‚ëœã‚âª"
TXT0170,"capres no urut 3 capres ganjar pranowo  punya strategi keren! enggak cuma melanjutkan, tapi juga menambah dan memperbaiki program pemerintah era sebelumnya. jn18b #jnk #ganjarmahfudrebound #ganjarpranowopilihanumat https://t.co/1mntybnkny"
TXT0171,"program program capres no urut 3 capres ganjar pranowo : enggak cuma berlanjut, tapi juga ditambah dan disempurnakan dari program pemerintah era sebelumnya. mantap!jn18a #jnk #ganjarmahfudrebound #ganjarpranowopilihanumat"
TXT0172,kontrak terbuka ganjar pranowo adalah undangan untuk kita semua ikut ambil bagian dalam menciptakan kedaulatan pangan.#jnk #ganjarmahfudrebound #ganjarpranowopilihanumat https://t.co/cmmbyo3bcf
TXT0173,"rt kwik kian gie: dua pesawat perang amerika pernah masuk ke wilayah nkri dan kita tidak bisa buat apa-apa.. prabowo betul, pertahanan kita sudah lama tak berdaulat!! #rembangdoakan_02 #kardusdurengorenganpolitik #etik4m4hfudtdkada gibran #gengpastipasti https://t.co/ayadgb2kfr [re bengkeldodo]"
TXT0174,"""seluruh yang tumpang tindih dari sisi regulasi, satu perlu harmonisasi, dua perlu sinkronisasi. dan pada tingkat tidak ada keputusan, maka pemimpin tertinggi harus berani ambil keputusan itu"" - ganjar pranowo#jawaposkawalpemilu2024 #debatcapres [re jawapos]"
TXT0175,tkn sebut pdi-p panik karena jokowi mulai terang-terangan dukung prabowo-gibran https://t.co/f7dbvluo54 [re oposisicerdas]
TXT0176,"e-katalog pemerintah bukan hanya sebagai sistem, tapi jalan emas buat umkm. ganjar-mahfud memang inovatif! @chaoticbarbari1 happy new year #ganjarmahfud2024#ganjarmahfudm3nang#l3bihbaik https://t.co/qwoo0bwvjt"
TXT0177,"'@shazilarafiah sreng sreng sreng, untung tdk dibahas, lawan anies terlalu baik hati, ketika anies menyerang kelemahan paslon lain, paslon lain malah tdk menyerang kelemahan anies, no 02 dan 03 berhati mulia"
TXT0178,"'@nakaharadz mau edukasi gimana pun susah tau. contohnya cowo aku, he knows how bad 02 is, tapi katanya ga masalah kalo dia jadi presiden. dia malah ga suka anies karena ga suka sama etikanya anies ceunah, ga ngerti etika yang manaãƒâ°ã‚å¸ã‚ëœã‚â­"
TXT0179,anies bandingkan kekayaan pribadi dgn kesejahteraan prajurit itu keliru. prabowo emang udah kaya sebelum jadi menhan kok. #debatcapres #debatcapres2024 #debatpilpres
TXT0180,"takut dicekal masyarakat, caleg demokrat tak pasang gambar prabowo-gibran? https://t.co/sexetfuukb [re oposisicerdas]"
TXT0181,dengan sangat tulus menteri bumn erick thohir titip pesan untuk menhan prabowo subianto untuk tetap menjaga toleransi umat beragama di indonesia@erickthohir#ettitiptoleransi02 #solutifkebanggaanindonesia https://t.co/ynmnuwwybk [re yunike45]
TXT0182,"program pasangan capres cawapres ganjar pranowo dan mahfud md, solusi jitu buat dorong pertumbuhan ekonomi desa. #jnk #ganjarpranowopilihanumat https://t.co/g8vrjbuqjj"
TXT0183,"solusi cegah korupsi, prabroro-gib : naikin gaji pejabat dan jamin kualitas hidup mereka ãƒâ°ã‚å¸ã‚ëœã‚â³solusi cegah korupsi, ganjar-mahfud: miskinkan dan taruh di nusakambangan ! jadi pas debat kmren bilang mau naikin pajak itu supaya nanti bisa naikin gaji para pejabat yang akan jadi calon koruptor baru ? begitu, ya ? ãƒâ°ã‚å¸ã‚â«ã‚â£makin yakin pilih @ganjarpranowo @mohmahfudmd ãƒâ°ã‚å¸ã‚â¤ã‚å¸#topgansats3t #ganjarmahfud2024 [re yusuf_dumdum]"
TXT0184,"'@njysqtq1guwxb558fjtowpxcsjahs085wrxaq0bh+bo= bener asik, sebab pastiinpbowo gbranpasti mendorong penggunaan teknis yg hemat air pada wilayah pertanian serta industri. #era02eraanakmuda masgbran kamiadadisini @dpwrsxwgpv0gxjjhhnmhyclghgh7r+v39bbxdbcgn2i= @hawkyfpuvvnbikufbh0vudh0ebn0ir2abdjhzxtfh1i="
TXT0185,kalau di hitung secara matematika harusnya pendapatan daerah akan naik signifikan dikarenakan pajak baliho dan reklame para calegãƒâ€šã‚â  ganjar mahfud hebat #l3bihbaik #mahfudlebihbaik3 #ganjarmahfud2024 internet gratis
TXT0186,harus dimaklumi paslon 03 dan 01 tidak memahami pertahanan negara di lapanganterbukti parpol2 pendukung 03 dan 01 di dpr ri mendukung anggaran pembelian alutsista#prabowo paling realistispaslon 01 masih saja merasa maha benar dg ketidak tahuannya [re bangsaygsujud]
TXT0187,perlindungan ham adalah tugas krusial dalam setiap kebijakan pemerintahan. #indonesiasentris #02melanjutkan #anakmudaindonesiaemas prabowo - gibran memprioritaskannya. #indonesiasentris #02melanjutkan #anakmudaindonesiaemas #menangseputaran https://t.co/y9kh0vuxbx
TXT0188,"100 hari terpilih amin, marsda (purn) supomo: anies baswedan susun roadmad kedaulatan siber nasional https://t.co/tvzxrokpmf"
TXT0189,"yang dari hati akan diterima hati.anies beneran peduli pada kesejahteraan tni polri. jelang lengser, anies baswedan hibahkan 400 unit rusun senilai rp200 m ke polri (berita 4 oktober 2021)#desakaniesdesakprabowo  #desakaniesdesakprabowo https://t.co/ldasjp2cdj [re micheladam7__]"
TXT0190,anies ingin kembalikan wibawa indonesia lewat diplomasi aktif https://t.co/ilsivtztsb [re kumparan]
TXT0191,"viral bansos dipakai menangi pilpres, dapat beras dan minyak asal 'teken kontrak' coblos prabowo-gibran https://t.co/wma3gq8o4b [re oposisicerdas]"
TXT0192,"ppatk temukan transaksi janggal pilpres 2024ganjar pranowo, capres no urut 3 buka suara terkait dengan transaksi janggal tersebut. ganjar meminta kepada @ppatk untuk melanjutkan temuan transaksi tersebut.apabila dana tersebut terindikasi pelanggaran ke ranah pidana, bisa langsung dilakukan penindakan oleh aparat hukum..tertib hukum dan konstitusi adalah koentji syarat mutlak sorang pemimpin ãƒâ°ã‚å¸ã‚â¤ã‚å¸dukung ppatk berantas tuntas korupsi dan tppu!!https://t.co/mplgeb9fc3 [re wagimandeep212_]"
TXT0193,kebersamaan ganjar pranowo dengan srimulat adalah pelajaran bahwa politik bisa dijalani dengan sikap santai dan penuh tawa ganjar mahfud hebat #coblos3 #3gm #ganjarmahfudm3nangdebat #debatcapres https://t.co/e6j95rgilf
TXT0194,"jangan lupa catat tanggalnya, indonesian democratic party februari 2024, tempat kita jadi bagian dari demokrasi! ayo, kita jadi bagian demokrasi dengan memilih ganjar pranowo. #ganjarmahfudrebound #ganjarpranowopilihanumat #jnk https://t.co/m9jtyvln9d"
TXT0195,'@sadewa_39 @itsfrosa @tweetmiliter @aniesbaswedan @prabowo @ganjarpranowo kalo dari laman resmi karena alasan fiskal dan menimbulkan kegaduhan di masyarakat
TXT0196,"debat capres memanas, anies dan prabowo saling sentil https://t.co/mitogq6so2 [re oposisicerdas]"
TXT0197,ganjar mahfud melakukan gerak cepat untuk indonesia lebih unggul..mboten ngapusi..mboten korupsi..#coblosnomor3 #gasssganjarmahfud https://t.co/pbihw3twk4 [re cak_agoest]
TXT0198,gunromli ãƒâ€šã‚â  ãƒâ€šã‚â  bukan nyogok tapi kkn korupsi kolusi nepotismeãƒâ€šã‚â  ganjar mahfud hebat #coblos3 #3gm #ganjarmahfudm3nangdebat #debatcapres https://t.co/ynsgr7qenb
TXT0199,"'@risahart @prabowo kan bisa di jawab sama anis kalo emang begitu prestasi gue kenapa lu calonin gue jadi gubernur dki,,kan karena lu tau gue pinterkanãƒâ°ã‚å¸ã‚â¤ã‚â£ãƒâ°ã‚å¸ã‚â¤ã‚â£ãƒâ°ã‚å¸ã‚â¤ã‚â£ [re rafa_pradhi]"
TXT0200,"regulasi platform digital yang lebih keadilan, kayaknya solusi banget dari ganjar-mahfud. semoga bisa terwujud, ya. @dindaaw222 happy new year #ganjarmahfud2024#ganjarmahfudm3nang#l3bihbaik https://t.co/rbyevgegkv"
TXT0201,"'@melihat_indo @ganjarpranowo @mohmahfudmd ganjar, pemimpin yang selalu berkomitmen pada kesejahteraan rakyatnya.ganjar, pemimpin yang selalu berkomitmen pada kesejahteraan rakyatnya."
TXT0202,"jadi, setelah wabah pmk yang kembali merebak pada tahun 2022 silam (padahal udah lebih dr 30 tahun kita bebas pmk) apa yang bikin pak @prabowo tetep pengen impor dari india? apa karena lebih murah? apa harganya yg murah sebanding dengan risiko yang mengancam? [re fmuchtaar]"
TXT0203,'@ajengcute16__ @jokowi @prabowo kalau kata habib rizieq shihab : siapa pun pemerintahnya siapa pun pejabatnya siapa pun orangnya jika telah bekerja dengan baik dan bagus wajib di beri apresiasi . trima kasi pak menhan .dan pilihan saya tetap 01 amin ãƒâ°ã‚å¸ã‚ëœã‚â
TXT0204,"'@jokowidan @prabowo, mereka anti demokrasi. kata new york times sih. menurut anda bagaimana ? https://t.co/r4swmsbxex"
TXT0205,"ardiningrum22: debat capres pertama, ganjar tegaskan jaga demokrasi dan sikat korupsi bengis  ganjar mahfud hebat #coblos3 #3gm #ganjarmahfudm3nangdebat #waktunyaprabowo https://t.co/nre4iizhty"
TXT0206,"program pasangan capres cawapres ganjar pranowo dan mahfud md, solusi jitu buat dorong pertumbuhan ekonomi desa. #jnk #ganjarpranowopilihanumat https://t.co/jojoev6aov"
TXT0207,"program pasangan capres cawapres ganjar pranowo dan mahfud md: desa presisi, investasi buat masa depan ekonomi yang kuat dan berdaya saing. #jnk #ganjarpranowopilihanumat https://t.co/fzb1r5gqw6"
TXT0208,faisal sebut menkeu sri mulyani akan mundur ãƒâ°ã‚å¸ã‚ëœã‚â®ãƒâ°ã‚å¸ã‚ëœã‚â®ãƒâ°ã‚å¸ã‚ëœã‚â®ekonom faisal basri mengajak segenap kalangan untuk membujuk sejumlah menteri mundur dari kabinet jokowi... bujukan ia suarakan karena pemerintahan jokowi sangat terkesan berpihak pada pasangan capres dan cawapres nomor urut 02 prabowo subianto dan gibran rakabuming raka. [re tijabar]
TXT0209,prabowo tak khawatir intervensi negara lain soal utang https://t.co/os2mc8bfyf [re oposisicerdas]
TXT0210,"'@txtdrnaktengah_ @kikysaputrii @kikysaputrii barusan gue dan temen gue ngecek pndpt pajak daerah buat satu tmpt aja ni bsa smpe 34 triliun. gmna se indonesia. tujuan gue mau bilang, itu atas nama indonesia, pake uang indonesia jga, dr rakyat indo, jgn seolah cuma prabowo doang yg nyumbang jir. licik amat.. [re amanetsuyu]"
TXT0211,tom lembong :ãƒâ¢ã‚â‚¬ã‚å“mencerminkan bahwa memang orientasi disana (prabowo-gibran) itu adalah menang dengan cara apapunãƒâ¢ã‚â‚¬ã‚âdengan cara licik dan tidak beretika pun mereka tidak maluãƒâ€šã‚â² pertontonkan didepan publik demi memenuhi syahwat mereka untuk berkuasa! memalukan!#aminajadulu  ãƒâ¢ã‚ëœã‚âãƒâ¯ã‚â¸ã‚âãƒâ¢ã‚âã‚â¤ https://t.co/rwzss6weom [re dhyndha_]
TXT0212,"menarik, ganjar-mahfud tampaknya fokus pada memudahkan akses masyarakat terhadap layanan hukum, ini akan mendukung investasi. @lachimo73679685 happy new year #ganjarmahfud2024#ganjarmahfudm3nang#l3bihbaik https://t.co/lf7i1eci6n"
TXT0213,"ãƒâ°ã‚å¸ã‚âã‚âº  ganjar pranowo, gubernur yang tidak hanya memiliki kebijakan tegas, tapi juga mampu menyatu dengan rakyat melalui seni komedi ganjar mahfud hebat #coblos3 #3gm #nazarpemilu #ganjarmahfudm3nangdebat https://t.co/kbck4cmytk"
TXT0214,"ãƒâ°ã‚å¸ã‚â€˜ã‚â‚¬  ganjar mahfud hebat #coblos3 #3gm #ganjarmahfud2024 betul pak, bersihkan indonesia dari korupsi. dengan pak ganjar dan mahfud semoga indonesia lebih maju lagi ganjar mahfud hebat #3gm #coblos3 https://t.co/edd1trh2ya"
TXT0215,kok bisa-bisanya wan abud fitnah belanja alutsista prabowo? @thangichothape1 dukungantulus untuk02 penasaran kebebasan ptn top 10 menhan nyebokin nangisin goblok pt tmi https://t.co/dnivcashuw https://t.co/0doojd42vq
TXT0216,tim hukum amin sumut laporkan baliho bobby nasution berpakaian dinas bersama prabowo https://t.co/mmzcvb5ugj [re oposisicerdas]
TXT0217,'@bospurwa katanya anies gapunya etika ke prabowo yg lebih tua. tapi mereka mendadak buta ya pas prabowo menyenye pas anies lagi bicara di debat 1? wkwk freak bgt. [re donnaharra]
TXT0218,"anies: presiden sebagai panglima diplomasi, bukan hadir di forum jadi penonton https://t.co/azyndmdb3z [re oposisicerdas]"
TXT0219,"sedikit soal rekam jejak anies baswedan di jakarta. hunian dp rp.0.lawan politik selalu mengecilkan program dp0 yg digagas mas anies ini, padahal hanya di era ini program perumahan dan pemukiman dilaksanakan secara komprehensif menjawab ragam kebutuhan hunian dan dirangkai dalam payung program terintegrasi bernama jakhabitat.dari mulai membangun rusunawa untuk mereka yang punya preferensi menyewa, merevitalisasi kampung bagi mereka yang tinggal di kampung kota, membangun dp rp.0 bagi mereka yang selama ini tak sanggup memiliki rumah, hingga menyediakan hunian terjangkau di dekat mbagi para millenials/gen z yang baru memulai karir dan kepingin gaya hidup yg berkelanjutan.dalam hal penyediaan rusunawa, mas anies mencetak rekor pembangunan rusunawa terbanyak sepanjang sejarah pemprov dki. bahkan lebih banyak dari periode sebelumnya yang dianggap sebagai gubernur pro rusunawa yg cuma 2 tahun sewa, gak tau bisa perpanjang apa kagak, terserah kepala unit yg mengelola aja. dp rp.0 dianggap gagal karena diklaim nyinyiers dan kaum pendendam sakit hati karena kalah pilgub bahwa jumlahnya sedikit. padahal meski apbd dki tergerus pandemi, dp rp.0 mensupply kurang lebih 30% dari seluruh unit apartemen di jakarta.bahkan dp rp.0 lebih laku daripada apartemen komersil karena tingkat keterisian yang mencapai 95% dibandingkan 75% dari apartemen komersil yg ada.dp0 mengabulkan mimpi warga yg selama ini menjadi penyewa hunian kemudia naik kelas jadi pemilik (dengan pengeluaran bulanan yang relatif sama), termasuk warga difabel.saat dp rp.0 diserang dan kini berupaya dihapuskan sesungguhnya lawan politik bukan menyerang mas anies, tp sedang menghalangi, menghapus harapan dan menutup kesempatan warga utk menggapai mimpinya memiliki rumah. demikian utk dimaklumi. [re reiza_patters]"
TXT0220,sukarelawan anies-muhaimin (amin) diminta awasi tps dengan rekam dan foto https://t.co/apvtbuccbe [re oposisicerdas]
TXT0221,ganjar berkomitmen untuk meningkatkan kesejahteraan keluarga prajurit melalui program beasiswa ini @cakiminow #debatcapres#ganjarmahfud2024#ganjarmahfudm3nangdebat#coblos5 https://t.co/ofow9awjvg
TXT0222,saat prabowo singgung apbd dki 80 triliun penjilat pantat gemoy bersorak gembira joget gemoy.giliran anies singgung anggaran menhan  700 triliun mereka ngamuk gigit pantat....pasukan pantat gemoy memang sakit ãƒâ°ã‚å¸ã‚â¤ã‚â£ãƒâ°ã‚å¸ã‚â¤ã‚â£ãƒâ°ã‚å¸ã‚â¤ã‚â£ãƒâ°ã‚å¸ã‚â¤ã‚â£ https://t.co/efamw8igco [re romitsut]
TXT0223,"program pasangan capres cawapres ganjar pranowo dan mahfud md, solusi jitu buat dorong pertumbuhan ekonomi desa. #jnk #ganjarpranowopilihanumat https://t.co/dbnnuptd4f"
TXT0224,"'@coandtoel @haykal2498 @akubolehjujurga ada sumber valid gak? apa cuma cuap2? kalo gw si gapercaya aplg dr pdip. kalo lu sering nonton berita. itu dijelasin kenapa pdip gasetuju. dan kalo anies, dia aja kemaren nyindir soal langkahin konstitusi kok."
TXT0225,"ãƒâ°ã‚å¸ã‚â€ã‚â¸indonesia tidak punya hubungan diplomatik dengan israel tapi akan menormalisasi hubunganmeskipun indonesia tidakmempunyai hubungan diplomatik dengan israel, namun hubungan indonesia di bidang perdagangan cukup baik. disinyalir prabowo akan menormalisasi hubungan indonesia-israel. para pejabat amerika serikat mengatakan, awal 2021 pemerintahan trump menempatkan indonesia dan mauritania sebagai negara-negara muslim selanjutnya yang didorong untuk menormalisasi hubungan dengan israel.ãƒâ€šã‚â gak bahaya taaa???#asalbukanprabowo https://t.co/eu0ky59gfr [re _riverheaven]"
TXT0226,kok bisa ya kamu salah sejauh itu soal anggaran prabowo wan angin? @bobbypoerwana dukungantulus untuk02 penasaran kebebasan ptn top 10 menhan nyebokin nangisin goblok pt tmi https://t.co/n9uh28im93 https://t.co/m3vcalxzmp
TXT0227,'@sabar_setiabudi @cintaindonesiad demokrasi sdh di rusak 02 rkyt sdh cerdas prabowo akan tumbang lg utk ke 4x nya jd presiden itu pasti
TXT0228,"lembaga survei australia sebut elektabilitas anies melonjak, abri-satu: optimis amin pemenang pilpres 2024 https://t.co/ajonsjufli [re oposisicerdas]"
TXT0229,prabowo serang anies: pemimpin jangan ngomong aja https://t.co/cw44d0ofl7 [re oposisicerdas]
TXT0230,"[2024 akan penuh dengan kejutan]prabowo gibran menang satu putaran  bukan ngawang2 tapi optimisme yang terukur dan berdasar (data dan fakta)pemerintahan jokowi sebentar lagi akan berakhir menggoreskan kenangan indah yang  harus dilanjutkan dan terus ditingkatkandan kerinduan rakyat , keluarga asn tni polri terhadap sosok sby dan jokowi  sudah terwakilkan  di paslon 02 (militer & sipil )sebuah pasangan yang realistias dengan kondisi saat ini dan masa depan [re heraloebss]"
TXT0231,ganjar-mahfud adalah pemimpin yang mendukung kesejahteraan semua lapisan masyarakat. @allenaaxxaa happy new year #ganjarmahfud2024#ganjarmahfudm3nang#l3bihbaik https://t.co/plj09f5u2c
TXT0232,"inilah desak anies yg sudah di lakukan masih menjabat gub dki, jadi acara #debatanies saat ini bukan sekedar mencari perhatian tuk pilpres 2024, tapi ini melanjutkan tradisi demokrasi yg sehat, #aniesmuhaimin2024 #aminajadulu"
TXT0233,'@oposisicerdas sombong skrg aja kubu prabowo ini....dgn cara apa bisa menang..??? ingat ya kalau terpilih berdasarkan demokrasi yg jurdil..insyaallah rakyat tidak bergejolak..namun jika sebaliknya.....jgn anggap main2 pemilik mutlak di negeri ini....ingat ini adalah pesta demokrasi rakyat...
TXT0234,"'@ujthld7rm9om8ebkfvdj2/6kig0lh245r95h9wbp82u= justru kalau prabowo menang akan bahaya buat keutuhan dan kelangsungan indonesia. dia sudah bilang kalau 2030 nkra akan hancur, ditolakâ orgâ papuaâ dll."
TXT0235,"demokrasi kita diwujudkan di indonesian democratic party februari 2024, mantap! ayo, kita jadikan momen ini lebih bermakna dengan memilih ganjar pranowo. #ganjarmahfudrebound #ganjarpranowopilihanumat #jnk https://t.co/o3wpzxdh10"
TXT0236,"'@rocky_antonie debat cuma modal: bego, dongok, tolol.2004, ganjar dpr, prabowo kalah di golkar.2009, ganjar dpr, prabowo gagal cawapres.2014, ganjar gubernur, prabowo gagal capres.2019, ganjar n anis gubernur, prabowo gagal capres.prabowo gagal mlulu!anis menang 1 kali, itupun brutal! https://t.co/prv2xj6viq"
TXT0237,kesejahteraan keluarga prajurit menjadi komitmen ganjar @bukanakdajjal #debatcapres#ganjarmahfud2024#ganjarmahfudm3nangdebat#coblos97 https://t.co/okumarvdfw
TXT0238,"menurut calon presiden nomor urut 3 @ganjarpranowo, seluruh yang tumpang tindih dari sisi regulasi perlu harmonisasi dan sinkronisasi. selain itu, lanjutnya, pada tingkat tidak ada keputusan, maka pemimpin tertinggi harus berani mengambil keputusan itu. ganjar menyampaikan hal ini sebagai jawaban atas pertanyaan bagaimana komitmen paslon terhadap penataan institusi pertahanan dan keamanan, karena kewenangan institusi di sektor keamanan sangat penting tetapi masih terjadi tumpang tindih.pertanyaan dari panelis berlangsung saat #debatcapres di istora senayan, jakarta, minggu (7/1/2024). tema #debatpilpres ketiga ini adalah seputar geopolitik, hubungan internasional, serta pertahanan dan keamanan.tonton keseruan debat ketiga pilpres yang sedang berlangsung di youtube kompascom: https://t.co/vj8fobly5s~n #ganjarmahfud #ganjarpranowo #jernihmemilih #pemilu2024kcm #debatcapresketiga #debatcapres2024 #pemilu #pilpres #kpu [re kompascom]"
TXT0239,"gaya kepemimpinan ganjar pranowo capres no urut 3, patut kita berikan jempol. beliau terjun langsung ke masyarakat bukan karena hanya mau menjadi calon presiden, tapi itu sudah dilakukan beliau sejak dari legislatif. memang sudah gaya kepemimpinan beliau selalu terjun ke masyarakat, untuk mendengar langsung aspirasi atau keluhan-keluhan dari warganya.ãƒâ°ã‚å¸ã‚â¤ã‚å¸ãƒâ¢ã‚â„¢ã‚â¥ãƒâ¯ã‚â¸ã‚âãƒâ°ã‚å¸ã‚â€ã‚â¥#ganjarpedulirakyat#ganjarhobiblusukan #ganjarmahfudm3nang [re simanjuntakelly]"
TXT0240,'@yudira13 @aniesbaswedan @prabowo @ganjarpranowo terus dan terus sampaikan kebenaran dan fakta itu ke publik agar rakyat indonesia paham bahwa ada etika2 hukum yg di injak2 oleh para penguasa hanya untuk melanggengkan kekuasaannya.. goodjob ãƒâ°ã‚å¸ã‚â€˜ã‚â
TXT0241,istri mendiang munir: prabowo harus tanggung jawab soal penculikan aktivis 1998 https://t.co/cjzybntalp [re oposisicerdas]
TXT0242,"seusai diduga mengeroyok relawan ganjar, 15 prajurit tni ditahan, brigjen kristomei: ditindak tegas! https://t.co/epmfwokwwm [re oposisicerdas]"
TXT0243,pak ganjar pranowo dan pak mahfud md adalah tim yang cocok untuk membawa inovasi ke d pemerintahan ganjar mahfud hebat #coblos3 #3gm #ganjarmahfudm3nangdebat #waktunyaprabowo https://t.co/uwfqmlwc1r
TXT0244,gw 15 tahun menjadi bagian dari diaspora indo di ln cuma bisa ketawa ketika anies bicara kuliner dan rumah budaya di setiap region di seluruh dunia. mungkin passport hijau gw kalau bisa denger juga ikutan ketawa. [re hasmibakhtiar]
TXT0245,"'@afutami jujur, pak anies beneran keliatan menuntut pertanggung jawaban negara thdp anggaran dan program selama ini, terlihat kecewa dgn approach pertahanan slm ini,yg lagi2 menegaskan posisinya sbg pihak perubahan. sadly org indonesia rasanya selalu tdk suka dengar mode kritik dpn umum"
TXT0246,prabowo diberi rapor merah oleh ganjar dan anies https://t.co/tgu38bcxwh [re oposisicerdas]
TXT0247,"dengan ganjar-mahfud, diharapkan umkm dapat merasakan sentuhan langsung dari pemerintah dalam memperluas jangkauan dan meningkatkan daya saing mereka. @bananabluee2 happy new year #ganjarmahfud2024#ganjarmahfudm3nang#l3bihbaik https://t.co/yjwswlcwzc"
TXT0248,ganjar-mahfud berkomitmen akan berantas habis praktik kkn dengan tiga strategi demi mewujudkan pertumbuhan ekonomi di indonesia.#pdiperjuangan#ganjaruntuksemua#ganjarpresiden#menangkanganjar#nomor3pilihanku#ganjarmahfud2024#ganjarsatset#mahfudtastes https://t.co/4bsmdwoxbu [re pdi_perjuangan]
TXT0249,kasihan nih prabowo jadi korban fitnah anies yang suka sembrono sebut anggaran @fasterkyu dukungantulus untuk02 penasaran kebebasan ptn top 10 menhan nyebokin nangisin goblok pt tmi https://t.co/vun9buad5i https://t.co/wposyqf1j4
TXT0250,ganjar-mahfud adalah solusi yang tepat untuk mewujudkan indonesia yang lebih merata dalam pertumbuhan ekonomi. @arunaurgf___ happy new year #ganjarmahfud2024#ganjarmahfudm3nang#l3bihbaik https://t.co/ashk4jchz2
TXT0251,"terima kasih karena menyebut penanganan ""kekerasan seksual"" dalam pembacaan visi misi, yg dihubungkan dengan reformasi kepolisian, pak.terima kasih juga pak anies menyebut ""perlindungan perempuan&amp; anak"" juga tppo.sebab keamanan bukan soal ""kalau kita lemah, nanti ditindas"" [re mardiasih]"
TXT0252,"ringkasananies baswedan menjadi cawapres yang paling banyak dibicarakan netizen pasca debat berlangsung. anies mengantongi 429k mention diikuti oleh prabowo subianto dengan 396k mention, dan di posisi terakhir yaitu ganjar pranowo dengan 329k mention.anies juga paling banyak dibincang dalam nada positif, dengan perolehan sentiment positif mencapai 71%, diikuti ganjar 69%, dan prabowo 31%. adapun sentimen negatif tertinggi diraih oleh prabowo dengan 64%, diikuti anies 23%, dan ganjar 17%.hingga selesainya pelaksanaan debat warganet berikan sejumlah julukan pada para capres seperti el chef (capres 01), el gemoy (capres 02), dan munculnya julukan baru el chudai (capres 03) sebagai substitusi panggilan ãƒâ¢ã‚â‚¬ã‚å“den bokepãƒâ¢ã‚â‚¬ã‚â yang sebelumnya digunakan untuk menyebut ganjar.gimik yang banyak dibahas oleh netizen diantaranya soal: penggunaan diksi ãƒâ¢ã‚â‚¬ã‚å“omon ãƒâ¢ã‚â‚¬ã‚â€œ omonãƒâ¢ã‚â‚¬ã‚â, mamat gunshop, nilai untuk menhan, potongan video statemen prabowo dan aksi prabowo yang memotong pembicaraan anies.pasca debat ini isu yang masih diangkat yaitu perihal pro kontra keterbukaan data pertahanan indonesia dan anggaran pertahanan yang mencapai 700 t, serta simpati pendukung kepada prabowo yang dianggap didzolimi karena diserang oleh kedua capres lain saat debat. [re ismailfahmi]"
TXT0253,pengamat politik universitas jember dr muhammad iqbal menilai bahwa calon presiden anies baswedan masih menjadi raja debat dengan seni adu argumen pada debat ketiga yang digelar kpu ri di istora senayan pada minggu (7/01/2024) malam.ia mengatakan anies kembali menegaskan bahwa indonesia harus menjadi panglima diplomasi dan pemimpin yang efektif diperhitungkan di asean sehingga kebersamaan negara anggota asean diyakini mampu berperan aktif menemukan solusi atas konflik nine dash line yang diklaim sepihak oleh tiongkok.simak berita selengkapnya di https://t.co/zpdilygt6x#hardnews_politik #newsone #cariberitaditvone #politik #tvonetvpemilu #kamikabarkanandaputuskan #maumemilih #capres #cawapres #pemilu2024 #pilpres2024 #aniesbaswedan #debatcapres2024 [re tvonenews]
TXT0254,ganjar akan memberantas kkn dan pungli demi kesejahteraan kaum buruh di indonesia ganjarmahfud2024 bekasi bekasiãƒâ€šã‚â  ganjar mahfud hebat #coblos3 #3gm memimpin indonesia #ganjarmahfudm3nangdebat https://t.co/35fxdv3muh
TXT0255,ganjar-mahfud akan memerangi kemiskinan dengan kebijakan yang efektif. @antttiiiiii1 happy new year #ganjarmahfud2024#ganjarmahfudm3nang#l3bihbaik https://t.co/gplzis8hds
TXT0256,ganjar-mahfud akan menciptakan iklim investasi yang kondusif. @agungkharismm happy new year #ganjarmahfud2024#ganjarmahfudm3nang#l3bihbaik https://t.co/kpu3jt8jti
TXT0257,'@4h1vucc4ospedhy0uwnx92mlrqjhdfmqp3pdl72/xbq= @7zkozeg0lpofbnvoz62dz5ygei+xbmmasn9nb0izadg= @aykai+rrigcl9nbuowvvyrgymexms+qbqsxodr4apa0= @wymbnsdk+t6yc7gs5kr3qqguxev5h+l5ini2l9qyat8= rohingya masuk nyalahin anies
TXT0258,"saat ini warga kampung bayam seharusnya bisa hidup tenang dan nyaman karena telah dibangunkan hunian baru dan layak oleh anies yang saat itu gubernur, namun mereka menangis karena dihalang-halangi oleh pj gubernur heru.warga kemudian mengadu, dan anies menerima aduan itu dengan pelukan erat dan tangis yang otomatis membanjiri mata orang-orang yang melihat.""sekarang kewenangannya lagi enggak ada, kita sama-sama rakyat biasa. nanti begitu ada kewenangan, kita kembalikan apa yang sudah seharusnya. yang sabar, insyaallah ada waktunya."" ujar anies dalam dekapan erat rakyat.jujur, aku nangis banget ãƒâ°ã‚å¸ã‚ëœã‚â­ [re dayatpiliang]"
TXT0259,"kalian berani sumpah apa bahwa yg utama adalah kesejahteraan rakyat kemakmuran bangsa indonesia, keadilan hukum dan ekonomi bagi seluruh rakyat indonesia. @aniesbaswedan @prabowo @ganjarpranowo [re soraya__x]"
